BGC0000692	doi:10.1002/9780470149676.ch2
BGC0000855	doi:10.1007/s00792-011-0396-x
BGC0000856	doi:10.1007/s00792-011-0396-x
BGC0000858	doi:10.1007/s00792-011-0396-x
BGC0000859	doi:10.1007/s00792-011-0396-x
BGC0000860	doi:10.1007/s00792-011-0396-x
BGC0000929	doi:10.1007/s10327-003-0096-1
BGC0000395	doi:10.1016/j.chembiol.2004.04.012
BGC0001529	doi:10.1021/jacs.8b02769
BGC0001582	doi:10.1021/ol5026603
BGC0001465	doi:10.1038/nchembio.1564
BGC0000760	doi:10.1099/00221287-147-7-1937
BGC0000785	doi:10.1128/JB.187.4.1324-1333.2005
BGC0001500	doi:10.26434/chemrxiv.5346739.v1
BGC0001709	doi:10.3389/fmicb.2018.02550
BGC0000272	doi:10.7164/antibiotics.54.239
BGC0001505	doi:10.26434/chemrxiv.5346739.v1
BGC0001592	doi:10.1101/631242
BGC0000727	doi:10.1007/s12223-010-0018-5
BGC0000763	doi:10.1016/0008-6215(96)00070-5
BGC0000793	doi:10.1046/j.1365-2958.2002.03243.x
BGC0001707	url:https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=201702255913252861&rel=0
BGC0000900	patent:JP2003125779-A
BGC0001109	patent:JP2005509435-A
BGC0000830	pubmed:11418029
BGC0000281	pubmed:10322017
BGC0000917	pubmed:10411269
BGC0000990	pubmed:10662695
BGC0000410	pubmed:11222588
BGC0000851	pubmed:12498889
BGC0000695	pubmed:1494349
BGC0000697	pubmed:15376556
BGC0001572	pubmed:15600304;pubmed:21814817
BGC0000694	pubmed:16156513
BGC0000846	pubmed:16506699
BGC0000863	pubmed:17122401
BGC0001013	pubmed:17159202
BGC0000359	pubmed:18832174
BGC0001648	pubmed:19129623;pubmed:19025863;pubmed:18710235
BGC0000450	pubmed:19194935
BGC0000864	pubmed:19453514;pubmed:16859689;pubmed:17122401
BGC0000787	pubmed:20801103
BGC0001124	pubmed:21543515
BGC0001117	pubmed:21726028
BGC0000831	pubmed:22391969
BGC0000367	pubmed:23144389
BGC0001234	pubmed:23281040
BGC0001610	pubmed:23352137
BGC0000415	pubmed:23437232
BGC0001472	pubmed:23650400
BGC0001144	pubmed:23758576;pubmed:23368997
BGC0000901	pubmed:25062661
BGC0001220	pubmed:25156669;pubmed:29987385
BGC0001005	pubmed:25362061
BGC0001148	pubmed:25402768
BGC0001732	pubmed:25822496
BGC0001284	pubmed:26025896
BGC0001227	pubmed:26433383
BGC0001236	pubmed:26458099
BGC0001233	pubmed:26515424
BGC0001451	pubmed:26663534;pubmed:29194875
BGC0001232	pubmed:26675041
BGC0001306	pubmed:26703898
BGC0001547	pubmed:26731665
BGC0001464	pubmed:27001835
BGC0001183	pubmed:27005505
BGC0001380	pubmed:27678113
BGC0001488	pubmed:28270265
BGC0000881	pubmed:28342817
BGC0001237	pubmed:28393452
BGC0001444	pubmed:28417606
BGC0001743	pubmed:29030449
BGC0000957	pubmed:29193538
BGC0001458	pubmed:29229817
BGC0001576	pubmed:29291350
BGC0001577	pubmed:29291350
BGC0001624	pubmed:29384350
BGC0000452	pubmed:29594558
BGC0001186	pubmed:29779656;pubmed:29439203
BGC0001453	pubmed:29795673
BGC0001454	pubmed:29795673
BGC0001455	pubmed:29795673
BGC0001456	pubmed:29795673
BGC0000726	pubmed:29867824
BGC0001475	pubmed:29995859
BGC0001499	pubmed:30027301
BGC0001457	pubmed:30065171
BGC0001536	pubmed:30115920
BGC0000889	pubmed:30526412
BGC0001601	pubmed:30610075
BGC0001602	pubmed:30610075
BGC0001828	pubmed:30671322
BGC0001319	pubmed:30892648;pubmed:25217510
BGC0000899	pubmed:9770448
