BGC0000468	0
BGC0000472	0
BGC0000473	0
BGC0000474	0
BGC0000476	0
BGC0000478	0
BGC0000482	0
BGC0000488	0
BGC0000501	0
BGC0000506	0
BGC0000509	0
BGC0000511	0
BGC0000515	0
BGC0000517	1
BGC0000519	0,1
BGC0000529	0
BGC0000544	0
BGC0000546	0
BGC0000551	0
BGC0000554	0
BGC0000559	0
BGC0000564	0
BGC0000569	0
BGC0000578	0
BGC0000579	0
BGC0000583	0
BGC0000592	0
BGC0000593	0
BGC0000597	0
BGC0000598	0
BGC0000601	0
BGC0000603	0
BGC0000604	0
BGC0000612	0,1,2,3
BGC0000613	0
BGC0000615	0
BGC0000616	0
BGC0000628	0
BGC0001145	0
BGC0001146	0
BGC0001157	0
BGC0001167	0,1,2
BGC0001170	0
BGC0001173	0
BGC0001176	0
BGC0001226	0,1
BGC0001311	0,1,2,3,4,5,6,7,8
BGC0001471	0
BGC0001473	0
